5. 고속국도 현황,,,,,,,,,
,,,,,,,,,
 2020.12.31 기준,,,,,,,,,( 단위 : km )
노선번호,노선명,기점,종점,차 로 별 연 장,,,,,
,,,,소   계,2차로,4차로,6차로,8차로,"10차로
이상"
40개 노선,,,,"4,847.52",4.58,"3,624.36",669.84,497.81,50.93
제 1 호,경부선,부산 금정구,서울 서초구,415.34,,13.51,221.89,159.51,20.43
제 10 호,남해선,전남 영암군,부산 북구,273.20,,190.61,19.40,63.19,
제 12 호,광주대구선,광주 북구,대구 달성군,212.88,,198.53,14.35,,
제 14 호,함양울산선,경남 함양군,울산 울주군,44.98,,44.98,,,
제 15 호,서해안선,전남 무안군,서울 금천구,336.65,,255.57,53.21,9.64,18.23
제 16 호,울산선,울산 울주군,울산 남구,14.30,,10.57,2.79,0.94,
제 17 호,평택파주선,경기 평택시,경기 파주시,89.27,2.40,38.65,48.22,,
제 20 호,새만금포항선,전북 익산시,경북 포항시,105.86,,72.68,33.18,,
제 25 호,호남선,전남 순천시,충남 천안시,276.26,,249.30,12.68,14.28,
제 27 호,순천완주선,전남 순천시,전북 완주군,117.78,,117.78,,,
제 29 호,세종포천선,경기 구리시,경기 포천시,50.60,,22.30,28.30,,
제 30 호,당진상주선,충남 당진시,경북 영덕군,278.90,,278.90,,,
제 32 호,옥산~오창선,충남 아산시,충북 청주시,12.10,,12.10,,,
제 35 호,중부선,경남 통영시,경기 하남시,332.48,,322.83,,9.65,
제 37 호,제2중부선,경기 이천시,경기 하남시,31.08,,31.08,,,
제 40 호,평택제천선,경기 평택시,충북 제천시,126.91,,101.11,25.80,,
제 45 호,중부내륙선,경남 마산시,경기 양평군,302.03,,302.03,,,
제 50 호,영동선,인천 남동구,강원 강릉시,234.40,,145.99,34.95,43.31,10.15
제 52 호,광주원주선,경기 광주시,강원 원주시,56.95,,56.95,,,
제 55 호,중앙선,부산 사상구,강원 춘천시,370.76,,368.87,1.89,,
제 60 호,서울양양선,서울 강동구,강원 홍천군,151.07,,137.87,11.22,1.98,
제 65 호,동해선,부산 해운대구,강원 속초시,222.63,,179.68,42.95,,
제 100 호,"수도권
제1순환선",경기 안양시,경기 남양주시,128.02,,,,126.92,1.10
제 102 호,남해제1지선,경남 함안군,경남 창원시,17.88,,17.88,,,
제 104 호,남해제2지선,경남 김해시,부산 사상구,20.25,,,2.02,18.23,
제 105 호,남해제3지선,경남 창원시,경남 김해시,15.26,,14.33,0.54,,0.39
제 110 호,제2경인선,인천 중구,경기 성남시,69.98,2.18,14.83,50.14,2.83,
제 120 호,경인선,인천 남구,서울 양천구,13.44,,,1.14,12.30,
제 130 호,"인천국제
공항선",인천 중구,경기 고양시,36.55,,,9.30,27.25,
제 151 호,서천공주선,충남 서천군,충남 공주시,61.36,,61.36,,,
제 153 호,평택시흥선,경기 평택시,경기 시흥시,40.30,,35.56,4.11,,0.63
제 171 호,용인서울선,경기 용인시,서울 강남구,25.45,,4.90,20.55,,
제 204 호,새만금포항선의지선,전북 익산시,전북 완주군,24.49,,24.49,,,
제 251 호,호남선지선,충남 논산시,대전 대덕구,53.97,,53.97,,,
제 253 호,고창담양선,전북 고창군,전남 담양군,42.50,,42.50,,,
제 300 호,"대전남부
순환선",대전 유성구,대전 동구,13.28,,13.28,,,
제 301 호,상주영천선,경북 상주시,경북 영천시,94.00,,91.29,2.71,,
제 400 호,"수도권
제2순환선",경기 화성시,경기 김포시,38.14,,22.74,15.40,,
제 451 호,중부내륙지선,대구 달성군,대구 북구,30.00,,15.56,6.66,7.78,
제 551 호,중앙선지선,경남 김해시,경남 양산시,17.42,,10.98,6.44,,
제 600 호,부산외곽선,경남 김해시,부산 기장군,48.80,,48.80,,,
"*   1. 고속국도 10호선(남해선)은 영암~순천간 고속도로(106.84km)를 포함.
    2. 고속국도 12호선(광주대구선)은 무안~광주간 고속도로(41.35km)를 포함.
    3. 고속국도 17호선(평택파주선)은 수원~파주간 고속도로(27.38km)를 포함.
    4. 고속국도 25호선(호남선)은 논산~천안간 고속도로(82.04km)를 포함.
    5. 고속국도 35호선(중부선)은 통영~대전간 고속도로(215.25km)를 포함. 
    6. 고속국도 65호선(동해선)은 부산~포항간 고속도로(100.83km)를 포함.
    7. 고속국도 100호선(서울외곽순환선)은 퇴계원~일산간 고속도로(36.30km)를 포함.
    8. 고속국도 110호선(제2경인선)은 인천대교 구간(21.38km)과 안양~성남간 고속도로(21.92km)를 포함.
    9. 고속국도 171호선(용인서울선)은 오산~화성간 고속도로(2.55km)를 포함.
    10. 고속국도 400호선(수도권제2순환선)은 인천~김포간 고속도로(28.88km)를 포함.",,,,,,,,,
