시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
초등학교,관악초등학교,서울특별시 관악구 청룡4길 49,,37.48102412,126.942556,서울특별시 관악구청,서울관악경찰서,Y,4,6~20,21-03-10
초등학교,구암초등학교,서울특별시 관악구 봉천동 구암길 1 구암초등학교,서울특별시 관악구 봉천동 482-1,37.48921747,126.9462717,서울특별시 관악구청,서울관악경찰서,Y,3,6~15,21-03-10
초등학교,난곡초등학교,서울특별시 관악구 신림동 난곡로35길 102 정보센타동,서울특별시 관악구 신림동 711-136,37.4691282,126.9163416,서울특별시 관악구청,서울관악경찰서,Y,6,4~8,21-03-10
초등학교,난우초등학교,서울특별시 관악구 신림동 난우길 40 난우초등학교,서울특별시 관악구 신림동 589-1,37.47711829,126.9176525,서울특별시 관악구청,서울관악경찰서,Y,7,5~12,21-03-10
초등학교,난향초등학교,-,서울특별시 관악구 신림동 672-1,37.46282027,126.9183355,서울특별시 관악구청,서울관악경찰서,Y,5,6~20,21-03-10
초등학교,남부초등학교,서울특별시 관악구 남부순환로 163길 14,,37.48512106,126.9221169,서울특별시 관악구청,서울관악경찰서,Y,6,6~12,21-03-10
초등학교,당곡초등학교,서울특별시 관악구 보라매로2길 23,,37.4901682,126.9303685,서울특별시 관악구청,서울관악경찰서,Y,7,6~12,21-03-10
초등학교,미성초등학교,서울특별시 관악구 문성로 79,,37.47833862,126.9123944,서울특별시 관악구청,서울관악경찰서,Y,4,6~20,21-03-10
초등학교,사당초등학교,서울특별시 관악구 남현동 남현4길 51 사당초등학교,서울특별시 관악구 남현동 1080-1,37.47383781,126.9733518,서울특별시 관악구청,서울관악경찰서,Y,8,4~8,21-03-10
초등학교,신우초등학교,서울특별시 관악구 호암로 498,,37.46326532,126.9325366,서울특별시 관악구청,서울관악경찰서,Y,1,6~20,21-03-10
초등학교,원당초등학교,서울특별시 관악구 봉천로 505,,37.48121389,126.9562493,서울특별시 관악구청,서울관악경찰서,Y,4,6~25,21-03-10
초등학교,인헌초등학교,서울특별시 관악구 낙성대로 23,,37.47675328,126.9598656,서울특별시 관악구청,서울관악경찰서,Y,3,6~30,21-03-10
초등학교,청룡초등학교,서울특별시 관악구 관악로5길 61,,37.47672482,126.9512177,서울특별시 관악구청,서울관악경찰서,Y,3,5~8,21-03-10
초등학교,삼성초등학교,서울특별시 관악구 대학7길 52,,37.46852069,126.9404946,서울특별시 관악구청,서울관악경찰서,Y,2,6~8,21-03-10
초등학교,신림초등학교,서울특별시 관악구 문성로28길 31,,37.4771503,126.9268759,서울특별시 관악구청,서울관악경찰서,Y,7,6~20,21-03-10
초등학교,신봉초등학교,서울특별시 관악구 봉천동 양녕로6나길 1 신봉초등학교,서울특별시 관악구 봉천동 458,37.48557635,126.9493909,서울특별시 관악구청,서울관악경찰서,Y,10,5~8,21-03-10
초등학교,은천초등학교,서울특별시 관악구 봉천동 은천로 69 은천초등학교,서울특별시 관악구 봉천동 622-1,37.4865852,126.9426783,서울특별시 관악구청,서울관악경찰서,Y,5,6~20,21-03-10
초등학교,봉천초등학교,서울특별시 관악구 봉천동 행운1라길 17 봉천초등학교,서울특별시 관악구 봉천동 28-6,37.4832696,126.9581884,서울특별시 관악구청,서울관악경찰서,Y,5,6~12,21-03-10
초등학교,신성초등학교,서울특별시 관악구 신림로 114,,37.47200385,126.9367522,서울특별시 관악구청,서울관악경찰서,Y,3,6~15,21-03-10
초등학교,봉현초등학교,서울특별시 관악구 성현로 117,,37.49123996,126.9555881,서울특별시 관악구청,서울관악경찰서,Y,4,6~20,21-03-10
